"ASV","Comparison","log2FoldChange","padj","Enriched_in","Domain","Phylum","Class","Order","Family","Genus","Species"
"6482c02ca41d543fdbd8f41534eb3de6","FERM vs WO1",1.10943618653663,0.0215489001013198,"FERM","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Dorea",NA
"c4189ce3abe7ac358660c55f541fcfaa","FERM vs WO1",-3.81699009636098,4.4114822051865e-15,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Dorea",NA
"b5f3e875d56726690ae2f390c8024320","FERM vs WO1",-1.04844487207849,0.0400467220900436,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Butyribacter",NA
"4f17c6758a51ab194aef089e1e3e1767","FERM vs WO1",-6.26449247730626,1.61653211587054e-41,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter",NA
"59fee6981e3ef5b1cd87108c87b53161","FERM vs WO1",-1.17833030633675,0.0215489001013198,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia",NA
"827af2885c9821ec1c928a354434a9c4","FERM vs WO1",-1.13839018905624,0.0336109467452125,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter",NA
"e14bd777249ce631a449ff8c45264346","FERM vs WO1",-1.51766940720878,0.00215402985614264,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter",NA
"cee8e1db08461cd40295dd27d37061e1","FERM vs WO1",-1.1228694098414,0.0295767188422608,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Coprococcus",NA
"643944af378ec22dcc75e03c889a2c07","FERM vs WO1",-4.3874465200496,3.22497981676164e-20,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerobutyricum",NA
"68d57be56fd6e12a28bad69cc3f4a45d","FERM vs WO1",-7.29419585777047,2.54473365727391e-99,"WO1","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia",NA
