"taxon","SE","df","lower.CL","upper.CL","Family","Genus","taxon_label","Subset","Base","VEG","WO1","FERM","WO2","change","direction"
"07b1149ccb783782ec4d38ecb1496c21",0.193128199722471,132,-8.30791009024071,-7.54385675381289,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_07b1149ccb783782ec4d38ecb1496c21","Microbiome",NA,NA,-7.9258834220268,NA,NA,NA,NA
"07b1149ccb783782ec4d38ecb1496c21",0.193128199722471,132,-8.30791009024071,-7.54385675381289,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_07b1149ccb783782ec4d38ecb1496c21","Microbiome",NA,NA,NA,NA,-7.9258834220268,NA,NA
"3773ea3e9a45529de94795ad903f3044",0.188135884958077,131.999999999996,-7.97217388671242,-7.22787113439254,"f__Pirellulaceae","g__CPla-4_termite_group","f__Pirellulaceae_g__CPla-4_termite_group_3773ea3e9a45529de94795ad903f3044","Microbiome",-7.60002251055248,NA,NA,NA,NA,NA,NA
"3773ea3e9a45529de94795ad903f3044",0.188135884958077,132,-8.29803479818674,-7.55373204586686,"f__Pirellulaceae","g__CPla-4_termite_group","f__Pirellulaceae_g__CPla-4_termite_group_3773ea3e9a45529de94795ad903f3044","Microbiome",NA,NA,-7.9258834220268,NA,NA,NA,NA
"3773ea3e9a45529de94795ad903f3044",0.188135884958077,132,-8.29803479818674,-7.55373204586686,"f__Pirellulaceae","g__CPla-4_termite_group","f__Pirellulaceae_g__CPla-4_termite_group_3773ea3e9a45529de94795ad903f3044","Microbiome",NA,NA,NA,NA,-7.9258834220268,NA,NA
"38c12f1a7ba71962a0ab012df0f7d005",0.186733487691706,132.000000000002,-7.97182882962164,-7.23307423811881,"f__Ruminococcaceae","g__Faecalibacterium","f__Ruminococcaceae_g__Faecalibacterium_38c12f1a7ba71962a0ab012df0f7d005","Microbiome",-7.60245153387023,NA,NA,NA,NA,NA,NA
"38c12f1a7ba71962a0ab012df0f7d005",0.186733487691706,132,-8.29526071777821,-7.55650612627538,"f__Ruminococcaceae","g__Faecalibacterium","f__Ruminococcaceae_g__Faecalibacterium_38c12f1a7ba71962a0ab012df0f7d005","Microbiome",NA,NA,-7.9258834220268,NA,-7.9258834220268,NA,NA
"40d7269d78874c56c8621deb61732635",0.251598928589856,132.000000000001,-7.98778884385221,-6.99241374530633,"f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group","f__Lachnospiraceae_g__[Ruminococcus]_gnavus_group_40d7269d78874c56c8621deb61732635","Microbiome",-7.49010129457927,NA,NA,NA,NA,NA,NA
"40d7269d78874c56c8621deb61732635",0.251598928589856,132,-8.42357097129974,-7.42819587275386,"f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group","f__Lachnospiraceae_g__[Ruminococcus]_gnavus_group_40d7269d78874c56c8621deb61732635","Microbiome",NA,NA,-7.9258834220268,NA,-7.9258834220268,NA,NA
"521cf1c933ea1dda390abc8f73e54469",0.189101759561514,131.999999999995,-7.97241153826002,-7.22428759507113,"f__Incertae_Sedis","g__Incertae_Sedis","f__Incertae_Sedis_g__Incertae_Sedis_521cf1c933ea1dda390abc8f73e54469","Microbiome",-7.59834956666558,NA,NA,NA,NA,NA,NA
